

========================================
Importieren gestartet am: 2026-02-14 18:21:31
========================================

OK: Patient 'Woltersdorf, Lars' importiert
OK: Patient 'Wagener, Frank' importiert
OK: Patient 'Kerkom, van Heide' importiert
OK: Patient 'Krampe, Michael HB' importiert
OK: Patient 'Geisler, Herrmann-Josef' importiert
OK: Patient 'Müllenschläder, Uwe' importiert
OK: Patient 'Dr. Baumgarten Klaus' importiert
OK: Patient 'Schoepe, Gerd' importiert
OK: Patient 'Dyck, Edgar Reha' importiert
OK: Patient 'Apeler , Deike  BPW ????' importiert
OK: Patient 'Sewing, Marlene ' importiert
OK: Patient 'Donner, Renée' importiert
OK: Patient 'Sava, Marcel' importiert
OK: Patient 'Schell, Uwe' importiert
OK: Patient 'Richter, Birgit' importiert
OK: Patient 'Mertens, Christa' importiert
OK: Patient 'Crisci, Yvonne' importiert
OK: Patient 'Kaminski, Lena' importiert
OK: Patient 'Jacobs, Hella' importiert
OK: Patient 'Althemühle,Andrea' importiert
OK: Patient 'Götze, Thomas Praxis' importiert
OK: Patient 'Lepperhoff, Heike' importiert
OK: Patient 'Hamacher, Heinz-Jürgen' importiert
OK: Patient 'Schmidt, Christa KGG' importiert
OK: Patient 'Schmidt, Karl-Georg' importiert
OK: Patient 'Stiletto, Andreas' importiert
OK: Patient 'davor alle 10 min. später :(' importiert
OK: Patient 'Bernhardt, Claudia' importiert
OK: Patient 'Mickoleit , Klaus' importiert
OK: Patient 'Wacker Urlaub' importiert
OK: Patient 'Brockhaus, Vera' importiert
OK: Patient 'Berndt, Henrik' importiert
OK: Patient 'Überstd. Abbau' importiert
OK: Patient 'Schneider, Alexander' importiert
OK: Patient 'Jacob, Stefan' importiert
OK: Patient 'Lumpe, Andre' importiert
OK: Patient 'Schulz, Kriemhild HB' importiert
OK: Patient 'Höfer, Andrè' importiert
OK: Patient 'Heimanns, Margot' importiert
OK: Patient 'Fortbildung ' importiert
OK: Patient 'Grümer, Gabriele' importiert
OK: Patient 'Maden, Kadriye' importiert
OK: Patient 'Offenhammer, Heike' importiert
OK: Patient 'Tesch, Sabine' importiert
OK: Patient 'Baum, Mathilda' importiert
OK: Patient 'Pflitsch, Dana Carina' importiert
OK: Patient 'Rabe, Hans-Ulrich' importiert
OK: Patient 'Dr. Schüttenhelm, Wolfgang, KGG' importiert
OK: Patient 'Moldrickx, Kerstin ' importiert
OK: Patient 'Thönes, Jutta' importiert
OK: Patient 'Klein, Katrin' importiert
OK: Patient 'Laufband in yin u Yang aufbauen' importiert
OK: Patient 'Donner, Renée MTT' importiert
OK: Patient 'Düring , Christine' importiert
OK: Patient 'Hauptkorn, Michael ' importiert
OK: Patient 'Wibbing, Christel HB' importiert
OK: Patient 'Klein , Gertrud' importiert
OK: Patient 'Irle, Gudrun KGG' importiert
OK: Patient 'Neuhaus, Anne' importiert
OK: Patient 'Abel, Helga' importiert
OK: Patient 'Nawotke, Marcel' importiert
OK: Patient 'Ott, David' importiert
OK: Patient 'Langrock, Nina BPW' importiert
OK: Patient 'Steier , Irina' importiert
OK: Patient 'KLuck, Regina' importiert
OK: Patient 'Schmidt, Johann' importiert
OK: Patient 'Irle , Gudrun' importiert
OK: Patient 'Koch, Lena' importiert
OK: Patient 'Hinkelmann, Roland' importiert
OK: Patient 'Kampf,Jennifer' importiert
OK: Patient 'Falcone, Angelina' importiert
OK: Patient 'Alefelder, Christoph' importiert
OK: Patient 'Schleifenbaum, Elisabeth' importiert
OK: Patient 'Binn, Günter' importiert
OK: Patient 'Zhang, Dingyu' importiert
OK: Patient 'Klockow, Anne-Marie' importiert
OK: Patient 'Eisenbach, Christa ' importiert
OK: Patient 'Schneevogt, Johannes' importiert
OK: Patient 'Dresbach, Eckhard' importiert
OK: Patient 'Klein, Britta' importiert
OK: Patient 'Müller, Iris' importiert
OK: Patient 'Blum, Florence' importiert
OK: Patient 'Pigors, Gudrun' importiert
OK: Patient 'Schramm, Werner' importiert
OK: Patient 'Lumpe, Andre  HB' importiert
OK: Patient 'Pause' importiert
OK: Patient 'Kriesten, Ulla' importiert
OK: Patient 'Macht, Esther' importiert
OK: Patient 'Rothstein, Sylvia' importiert
OK: Patient 'Schneider, Peter  ' importiert
OK: Patient 'Meyer, Marion' importiert
OK: Patient 'Hombach-Jäger, Barbara' importiert
OK: Patient 'Dresbach, Kerstin ' importiert
OK: Patient ' Klein, Thomas' importiert
OK: Patient 'Familie' importiert
OK: Patient 'Sternhagen, Christian' importiert
OK: Patient 'Laschet, Andrè' importiert
OK: Patient 'Schuster, Thorsten' importiert
OK: Patient 'Stiletto, Anja' importiert
OK: Patient 'Odenbrett, Katharina' importiert
OK: Patient 'Sommer, Nina ' importiert
OK: Patient 'Bertamini-Köster, Rosemarie' importiert
OK: Patient 'Kostenzer, Piroschka ' importiert
OK: Patient 'Koch, Matthias' importiert
OK: Patient 'BÜRO  NICHT BESETZT' importiert
OK: Patient 'ARZTTERMIN' importiert
OK: Patient 'Schnabel , Vanessa' importiert
